"match_id","stage","round","fixture_date","home_team","away_team","actual_home_goals","actual_away_goals","actual_winner_team","pair_key","kickoff_utc","result_event_id","result_source_path","result_status","home_key","away_key","winner_key"
"M95","knockout","Round of 16",2026-07-07,"Argentina","Egypt",3,2,"Argentina","argentina|egypt","2026-07-07T16:00Z","760509","data/raw/espn/scoreboard_20260707.json","STATUS_FULL_TIME","argentina","egypt","argentina"
"M96","knockout","Round of 16",2026-07-07,"Switzerland","Colombia",0,0,"Switzerland","colombia|switzerland","2026-07-07T20:00Z","760508","data/raw/espn/scoreboard_20260707.json","STATUS_FINAL_PEN","switzerland","colombia","switzerland"
"M97","knockout","Quarter-finals",2026-07-09,"France","Morocco",2,0,"France","france|morocco","2026-07-09T20:00Z","760510","data/raw/espn/scoreboard_20260709.json","STATUS_FULL_TIME","france","morocco","france"
"M98","knockout","Quarter-finals",2026-07-10,"Spain","Belgium",2,1,"Spain","belgium|spain","2026-07-10T19:00Z","760511","data/raw/espn/scoreboard_20260710.json","STATUS_FULL_TIME","spain","belgium","spain"
"M99","knockout","Quarter-finals",2026-07-11,"Norway","England",1,2,"England","england|norway","2026-07-11T21:00Z","760512","data/raw/espn/scoreboard_20260711.json","STATUS_FINAL_AET","norway","england","england"
"M100","knockout","Quarter-finals",2026-07-11,"Argentina","Switzerland",3,1,"Argentina","argentina|switzerland","2026-07-12T01:00Z","760513","data/raw/espn/scoreboard_20260711.json","STATUS_FINAL_AET","argentina","switzerland","argentina"
"M101","knockout","Semi-finals",2026-07-14,"France","Spain",0,2,"Spain","france|spain","2026-07-14T19:00Z","760514","data/raw/espn/scoreboard_20260714.json","STATUS_FULL_TIME","france","spain","spain"
"M102","knockout","Semi-finals",2026-07-15,"England","Argentina",1,2,"Argentina","argentina|england","2026-07-15T19:00Z","760515","data/raw/espn/scoreboard_20260715.json","STATUS_FULL_TIME","england","argentina","argentina"
"M103","knockout","Third-place play-off",2026-07-18,"France","England",4,6,"England","england|france","2026-07-18T21:00Z","760516","data/raw/espn/scoreboard_20260718.json","STATUS_FULL_TIME","france","england","england"
"M104","knockout","Final",2026-07-19,"Spain","Argentina",1,0,"Spain","argentina|spain","2026-07-19T19:00Z","760517","data/raw/espn/scoreboard_20260719.json","STATUS_FINAL_AET","spain","argentina","spain"
