"match_id","sample","view","stage","round","home_team","away_team","observed_outcome","predicted_outcome","confidence","target","metric","value"
"GC04","strict","first_valid","group","Group C","Brazil","Haiti","home","home",0.6539,"scoreline","exact_score_hit",
"GC05","strict","first_valid","group","Group C","Scotland","Brazil","away","away",0.618,"regulation_1x2","rps",0.087805645
"GC05","strict","first_valid","group","Group C","Scotland","Brazil","away","away",0.618,"regulation_1x2","brier",0.21958538
"GC05","strict","first_valid","group","Group C","Scotland","Brazil","away","away",0.618,"regulation_1x2","log_loss",0.481266821524446
"GC05","strict","first_valid","group","Group C","Scotland","Brazil","away","away",0.618,"regulation_1x2","accuracy",1
"GC05","strict","first_valid","group","Group C","Scotland","Brazil","away","away",0.618,"goals","home_xg_absolute_error",0.8571
"GC05","strict","first_valid","group","Group C","Scotland","Brazil","away","away",0.618,"goals","away_xg_absolute_error",0.938
"GC05","strict","first_valid","group","Group C","Scotland","Brazil","away","away",0.618,"goals","total_xg_squared_error",0.00654481000000003
"GC05","strict","first_valid","group","Group C","Scotland","Brazil","away","away",0.618,"over_2_5","over_2_5_brier",0.22231225
"GC05","strict","first_valid","group","Group C","Scotland","Brazil","away","away",0.618,"over_2_5","over_2_5_log_loss",0.637712473671845
"GC05","strict","first_valid","group","Group C","Scotland","Brazil","away","away",0.618,"btts","btts_brier",0.20566225
"GC05","strict","first_valid","group","Group C","Scotland","Brazil","away","away",0.618,"btts","btts_log_loss",0.604220971365544
"GC05","strict","first_valid","group","Group C","Scotland","Brazil","away","away",0.618,"scoreline","joint_scoreline_log_loss",
"GC05","strict","first_valid","group","Group C","Scotland","Brazil","away","away",0.618,"scoreline","home_goal_rps",
"GC05","strict","first_valid","group","Group C","Scotland","Brazil","away","away",0.618,"scoreline","away_goal_rps",
"GC05","strict","first_valid","group","Group C","Scotland","Brazil","away","away",0.618,"scoreline","exact_score_hit",
"GC06","strict","first_valid","group","Group C","Morocco","Haiti","home","home",0.6371,"regulation_1x2","rps",0.078712285
"GC06","strict","first_valid","group","Group C","Morocco","Haiti","home","home",0.6371,"regulation_1x2","brier",0.19843082
"GC06","strict","first_valid","group","Group C","Morocco","Haiti","home","home",0.6371,"regulation_1x2","log_loss",0.450828649859695
"GC06","strict","first_valid","group","Group C","Morocco","Haiti","home","home",0.6371,"regulation_1x2","accuracy",1
"GC06","strict","first_valid","group","Group C","Morocco","Haiti","home","home",0.6371,"goals","home_xg_absolute_error",1.894
"GC06","strict","first_valid","group","Group C","Morocco","Haiti","home","home",0.6371,"goals","away_xg_absolute_error",1.1618
"GC06","strict","first_valid","group","Group C","Morocco","Haiti","home","home",0.6371,"goals","total_xg_squared_error",9.33791364
"GC06","strict","first_valid","group","Group C","Morocco","Haiti","home","home",0.6371,"over_2_5","over_2_5_brier",0.214369
