"sample","view","target","metric","cut_type","cut_value","n_scored","n_official","coverage","estimate","lower","upper"
"exploratory","latest_valid","regulation_1x2","brier","confidence","medium",36,104,0.346153846153846,0.447386237397536,0.375564089001292,0.525692325826342
"exploratory","latest_valid","regulation_1x2","brier","outcome_class","away",26,104,0.25,0.381552776827823,0.320778623504025,0.449892223648325
"exploratory","latest_valid","regulation_1x2","brier","outcome_class","draw",15,104,0.144230769230769,0.905323980783883,0.86217876996126,0.955548195511664
"exploratory","latest_valid","regulation_1x2","brier","outcome_class","home",38,104,0.365384615384615,0.394392781667144,0.335792572510076,0.453515190928949
"exploratory","latest_valid","regulation_1x2","brier","overall","all",79,104,0.759615384615385,0.487179210286495,0.429245919745893,0.543191432564335
"exploratory","latest_valid","regulation_1x2","brier","stage","group",49,52,0.942307692307692,0.501520054004082,0.428691130629116,0.581431430487687
"exploratory","latest_valid","regulation_1x2","brier","stage","knockout",30,31,0.967741935483871,0.463755832214437,0.384878286466134,0.54639887123037
"exploratory","latest_valid","regulation_1x2","log_loss","confidence","high",16,104,0.153846153846154,0.571964632342393,0.399009627707855,0.804133960919478
"exploratory","latest_valid","regulation_1x2","log_loss","confidence","low",27,104,0.259615384615385,1.08393989515188,1.00763713064302,1.16958763407056
"exploratory","latest_valid","regulation_1x2","log_loss","confidence","medium",36,104,0.346153846153846,0.792590684659737,0.69553127999053,0.89602850776243
"exploratory","latest_valid","regulation_1x2","log_loss","outcome_class","away",26,104,0.25,0.69881228727178,0.611122901847608,0.793084311631611
"exploratory","latest_valid","regulation_1x2","log_loss","outcome_class","draw",15,104,0.144230769230769,1.44019443889618,1.39757394095947,1.49368757554727
"exploratory","latest_valid","regulation_1x2","log_loss","outcome_class","home",38,104,0.365384615384615,0.715237891626862,0.635714511431858,0.796605039598545
"exploratory","latest_valid","regulation_1x2","log_loss","overall","all",79,104,0.759615384615385,0.847481973852275,0.764664569401643,0.929782021426955
"exploratory","latest_valid","regulation_1x2","log_loss","stage","group",49,52,0.942307692307692,0.867002462378591,0.762098221118651,0.97417394442785
"exploratory","latest_valid","regulation_1x2","log_loss","stage","knockout",30,31,0.967741935483871,0.815598509259291,0.700080824018243,0.930776439640326
"exploratory","latest_valid","regulation_1x2","rps","confidence","high",16,104,0.153846153846154,0.0903255471251111,0.0661440383726318,0.121187713487745
"exploratory","latest_valid","regulation_1x2","rps","confidence","low",27,104,0.259615384615385,0.212544737643914,0.190516123665104,0.233850896208825
"exploratory","latest_valid","regulation_1x2","rps","confidence","medium",36,104,0.346153846153846,0.166312361716051,0.144732703116254,0.190508544195447
"exploratory","latest_valid","regulation_1x2","rps","outcome_class","away",26,104,0.25,0.163759169432995,0.133532209112518,0.195176655997051
"exploratory","latest_valid","regulation_1x2","rps","outcome_class","draw",15,104,0.144230769230769,0.16206176315318,0.147047206361149,0.179935447335554
"exploratory","latest_valid","regulation_1x2","rps","outcome_class","home",38,104,0.365384615384615,0.170592022094993,0.142632203474857,0.200477071670521
"exploratory","latest_valid","regulation_1x2","rps","overall","all",79,104,0.759615384615385,0.166723565723611,0.150021252463756,0.184314885726637
"exploratory","latest_valid","regulation_1x2","rps","stage","group",49,52,0.942307692307692,0.164591734590816,0.143791870860935,0.187926737204277
"exploratory","latest_valid","regulation_1x2","rps","stage","knockout",30,31,0.967741935483871,0.170205556573843,0.143825939844701,0.198956000868334
"exploratory","latest_valid","scoreline","away_goal_rps","confidence","high",0,104,0,,,
"exploratory","latest_valid","scoreline","away_goal_rps","confidence","low",0,104,0,,,
"exploratory","latest_valid","scoreline","away_goal_rps","confidence","medium",0,104,0,,,
"exploratory","latest_valid","scoreline","away_goal_rps","outcome_class","away",0,104,0,,,
"exploratory","latest_valid","scoreline","away_goal_rps","outcome_class","draw",0,104,0,,,
"exploratory","latest_valid","scoreline","away_goal_rps","outcome_class","home",0,104,0,,,
"exploratory","latest_valid","scoreline","away_goal_rps","overall","all",0,104,0,,,
"exploratory","latest_valid","scoreline","away_goal_rps","stage","group",0,52,0,,,
"exploratory","latest_valid","scoreline","away_goal_rps","stage","knockout",0,31,0,,,
"exploratory","latest_valid","scoreline","exact_score_hit","confidence","high",0,104,0,,,
"exploratory","latest_valid","scoreline","exact_score_hit","confidence","low",0,104,0,,,
"exploratory","latest_valid","scoreline","exact_score_hit","confidence","medium",0,104,0,,,
"exploratory","latest_valid","scoreline","exact_score_hit","outcome_class","away",0,104,0,,,
"exploratory","latest_valid","scoreline","exact_score_hit","outcome_class","draw",0,104,0,,,
"exploratory","latest_valid","scoreline","exact_score_hit","outcome_class","home",0,104,0,,,
"exploratory","latest_valid","scoreline","exact_score_hit","overall","all",0,104,0,,,
"exploratory","latest_valid","scoreline","exact_score_hit","stage","group",0,52,0,,,
"exploratory","latest_valid","scoreline","exact_score_hit","stage","knockout",0,31,0,,,
"exploratory","latest_valid","scoreline","home_goal_rps","confidence","high",0,104,0,,,
"exploratory","latest_valid","scoreline","home_goal_rps","confidence","low",0,104,0,,,
"exploratory","latest_valid","scoreline","home_goal_rps","confidence","medium",0,104,0,,,
