"match_id","stage","group","matchday","date","home_team","away_team","home_display","away_display","kickoff_local","venue_name","host_city","host_country","is_completed","match_status","actual_home_goals","actual_away_goals","actual_score","home_goals_expected","away_goals_expected","win_probability","draw_probability","loss_probability","predicted_outcome","most_likely_score","most_likely_score_probability","rounded_expected_score","over_2_5_probability","under_2_5_probability","both_teams_to_score_probability"
"GI01","group","I",1,"2026-06-16","France","Senegal","France","Senegal","15:00","MetLife Stadium","East Rutherford","United States",FALSE,"scheduled",NA,NA,NA,1.48786910193767,1.18977747334873,0.438586572863154,0.249035917625731,0.312377509511116,"home_win","1-0",0.108781279159701,"1-1",0.482818993175536,0.517181006824464,0.482588124777538
"GI02","group","I",1,"2026-06-16","Iraq","Norway","Iraq","Norway","18:00","Gillette Stadium","Foxborough","United States",FALSE,"scheduled",NA,NA,NA,1.01048677245605,1.74864566622181,0.239042441211757,0.235313280443796,0.525644278344447,"away_win","0-1",0.113412896412027,"1-2",0.497919989673345,0.502080010326655,0.471697600395246
"GI03","group","I",2,"2026-06-22","Norway","Senegal","Norway","Senegal","20:00","MetLife Stadium","East Rutherford","United States",FALSE,"scheduled",NA,NA,NA,1.24117897051281,1.42306440288602,0.339351911333524,0.251837202699178,0.408810885967298,"away_win","1-1",0.105436447697132,"1-1",0.479346720400643,0.520653279599357,0.483194100522723
"GI04","group","I",2,"2026-06-22","France","Iraq","France","Iraq","17:00","Lincoln Financial Field","Philadelphia","United States",FALSE,"scheduled",NA,NA,NA,2.09902564174119,0.846363979643451,0.634152903894134,0.203161330686341,0.162685765419524,"home_win","1-0",0.117599468822109,"2-1",0.537286509658109,0.46271349034189,0.453155665618399
"GI05","group","I",3,"2026-06-26","Norway","France","Norway","France","15:00","Gillette Stadium","Foxborough","United States",FALSE,"scheduled",NA,NA,NA,1.11138387180264,1.59321519101592,0.282855982976101,0.245096406443635,0.472047610580264,"away_win","0-1",0.109053309442122,"1-2",0.487275837077837,0.512724162922163,0.479111626107406
"GI06","group","I",3,"2026-06-26","Senegal","Iraq","Senegal","Iraq","15:00","BMO Field","Toronto","Canada",FALSE,"scheduled",NA,NA,NA,1.87305991778085,0.943786266696067,0.571210618292154,0.223275239498263,0.205514142209583,"home_win","1-0",0.117917787304711,"2-1",0.511841721308612,0.488158278691388,0.465652410083697
"GJ01","group","J",1,"2026-06-16","Argentina","Algeria","Argentina","Algeria","20:00","Arrowhead Stadium","Kansas City","United States",FALSE,"scheduled",NA,NA,NA,1.82621149003237,0.968266850286742,0.556672588111184,0.227184432638552,0.216142979250263,"home_win","1-0",0.117456968061716,"2-1",0.507303603257795,0.492696396742205,0.468332565922111
"GJ02","group","J",1,"2026-06-16","Austria","Jordan","Austria","Jordan","21:00","Levi's Stadium","Santa Clara","United States",FALSE,"scheduled",NA,NA,NA,1.71722850416853,1.02838298540598,0.521541335871368,0.235703212305757,0.242755451822876,"home_win","1-0",0.115928438112845,"2-1",0.497228646013573,0.502771353986427,0.473548184852542
"GJ03","group","J",2,"2026-06-22","Argentina","Austria","Argentina","Austria","12:00","AT&T Stadium","Arlington","United States",FALSE,"scheduled",NA,NA,NA,1.94943703965328,0.907246969865908,0.593791530473189,0.216650516950397,0.189557952576414,"home_win","1-0",0.118257837547072,"2-1",0.519841140617727,0.480158859382274,0.461308542286987
"GJ04","group","J",2,"2026-06-22","Jordan","Algeria","Jordan","Algeria","20:00","Levi's Stadium","Santa Clara","United States",FALSE,"scheduled",NA,NA,NA,0.963387522068577,1.83203629775191,0.218601055031276,0.22904801277985,0.552350932188875,"away_win","0-1",0.114938703944458,"1-2",0.504949205153576,0.495050794846424,0.466979206482241
"GJ05","group","J",3,"2026-06-27","Algeria","Austria","Algeria","Austria","21:00","Arrowhead Stadium","Kansas City","United States",FALSE,"scheduled",NA,NA,NA,1.41884513022536,1.24497032351215,0.412234091962731,0.251459976087426,0.336305931949842,"home_win","1-0",0.105893109430017,"1-1",0.479747632740945,0.520252367259055,0.483409625569678
"GJ06","group","J",3,"2026-06-27","Jordan","Argentina","Jordan","Argentina","21:00","AT&T Stadium","Arlington","United States",FALSE,"scheduled",NA,NA,NA,0.702237010659577,2.50557857792293,0.109846175869815,0.170359239395552,0.719794584734634,"away_win","0-2",0.112583933434475,"1-3",0.579894217069392,0.420105782930607,0.422264648095239
"GK01","group","K",1,"2026-06-17","Portugal","DR Congo","Portugal","DR Congo","12:00","NRG Stadium","Houston","United States",FALSE,"scheduled",NA,NA,NA,1.94140166974191,0.909510006861652,0.591779647509812,0.217362485347898,0.19085786714229,"home_win","1-0",0.118384402141707,"2-1",0.518671685605195,0.481328314394806,0.461345674108029
"GK02","group","K",1,"2026-06-17","Uzbekistan","Colombia","Uzbekistan","Colombia","20:00","Estadio Azteca","Mexico City","Mexico",FALSE,"scheduled",NA,NA,NA,1.07296212079127,1.64559011454629,0.266657715665091,0.242212687748991,0.491129596585918,"away_win","0-1",0.110974140182812,"1-2",0.489947423123804,0.510052576876196,0.47629589061424
"GK03","group","K",2,"2026-06-23","Portugal","Uzbekistan","Portugal","Uzbekistan","12:00","NRG Stadium","Houston","United States",FALSE,"scheduled",NA,NA,NA,1.88433837678608,0.937126053632286,0.574847244597073,0.222322074067665,0.202830681335261,"home_win","1-0",0.118099492033249,"2-1",0.512762764546914,0.487237235453085,0.464717661322132
"GK04","group","K",2,"2026-06-23","Colombia","DR Congo","Colombia","DR Congo","20:00","Estadio Akron","Zapopan","Mexico",FALSE,"scheduled",NA,NA,NA,1.6959878102452,1.04129433481079,0.514353240050557,0.237236196862521,0.248410563086922,"home_win","1-0",0.115490706673416,"2-1",0.495492870942531,0.504507129057469,0.474543952246924
"GK05","group","K",3,"2026-06-27","Colombia","Portugal","Colombia","Portugal","19:30","Hard Rock Stadium","Miami Gardens","United States",FALSE,"scheduled",NA,NA,NA,1.16077855993124,1.52171670352554,0.304877968992438,0.24864097225813,0.446481058749431,"away_win","0-1",0.106664115168542,"1-2",0.482871311716248,0.517128688283751,0.480904383163389
"GK06","group","K",3,"2026-06-27","DR Congo","Uzbekistan","DR Congo","Uzbekistan","19:30","Mercedes-Benz Stadium","Atlanta","United States",FALSE,"scheduled",NA,NA,NA,1.28986989781163,1.36936959203265,0.359820829093441,0.252657920592485,0.387521250314074,"away_win","1-1",0.105798941374613,"1-1",0.47844918360813,0.521550816391869,0.483858457881827
"GL01","group","L",1,"2026-06-17","Ghana","Panama","Ghana","Panama","19:00","BMO Field","Toronto","Canada",FALSE,"scheduled",NA,NA,NA,1.29982746343028,1.35903405353978,0.363939258860485,0.252722313740054,0.38333842739946,"away_win","1-1",0.10582997624767,"1-1",0.4784003081492,0.5215996918508,0.483957441521507
"GL02","group","L",1,"2026-06-17","England","Croatia","England","Croatia","15:00","AT&T Stadium","Arlington","United States",FALSE,"scheduled",NA,NA,NA,1.70424972397342,1.03714624313249,0.516971777536889,0.236622684329231,0.246405538133879,"home_win","1-0",0.115578342420643,"2-1",0.496358907004094,0.503641092995906,0.474389644137048
"GL03","group","L",2,"2026-06-23","England","Ghana","England","Ghana","16:00","Gillette Stadium","Foxborough","United States",FALSE,"scheduled",NA,NA,NA,2.35027720192284,0.751159348779036,0.695456837097674,0.179930861879744,0.124612301022581,"home_win","1-0",0.115186211523609,"2-1",0.566529855921111,0.433470144078888,0.434539052001764
"GL04","group","L",2,"2026-06-23","Panama","Croatia","Panama","Croatia","19:00","BMO Field","Toronto","Canada",FALSE,"scheduled",NA,NA,NA,0.984033715116351,1.7951681073358,0.227477180288224,0.231879824618746,0.54064299509303,"away_win","0-1",0.1142936899864,"1-2",0.501822844984495,0.498177155015506,0.469216128996834
"GL05","group","L",3,"2026-06-27","Panama","England","Panama","England","17:00","MetLife Stadium","East Rutherford","United States",FALSE,"scheduled",NA,NA,NA,0.768580761049806,2.29711265597685,0.135565270511286,0.188750475470679,0.675684254018035,"away_win","0-1",0.114925445596941,"1-2",0.555192009476394,0.444807990523606,0.437553006489165
"GL06","group","L",3,"2026-06-27","Croatia","Ghana","Croatia","Ghana","17:00","Lincoln Financial Field","Philadelphia","United States",FALSE,"scheduled",NA,NA,NA,1.83580519051393,0.962036981043093,0.559922228871053,0.226408406217507,0.21366936491144,"home_win","1-0",0.117674115498764,"2-1",0.50797625030722,0.49202374969278,0.467483758323805
