"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral","score_source","actual_winner_team","home_team_canonical","away_team_canonical","home_team_fifa","away_team_fifa","result","match_id","is_home"
1895-03-16,"Northern Ireland","Wales",2,2,"British Home Championship","Belfast","Ireland",FALSE,"martj42",NA,"Ireland, Northern","Wales","NIR","WAL",0.5,"Ireland, Northern_Wales_1895-03-16",TRUE
1895-03-18,"England","Wales",1,1,"British Home Championship","London","England",FALSE,"martj42",NA,"England","Wales","ENG","WAL",0.5,"England_Wales_1895-03-18",TRUE
1895-03-23,"Wales","Scotland",2,2,"British Home Championship","Wrexham","Wales",FALSE,"martj42",NA,"Wales","Scotland","WAL",NA,0.5,"Wales_Scotland_1895-03-23",TRUE
1895-03-30,"Scotland","Northern Ireland",3,1,"British Home Championship","Glasgow","Scotland",FALSE,"martj42",NA,"Scotland","Ireland, Northern",NA,"NIR",1,"Scotland_Ireland, Northern_1895-03-30",TRUE
1895-04-06,"England","Scotland",3,0,"British Home Championship","Liverpool","England",FALSE,"martj42",NA,"England","Scotland","ENG",NA,1,"England_Scotland_1895-04-06",TRUE
1896-02-29,"Wales","Northern Ireland",6,1,"British Home Championship","Wrexham","Wales",FALSE,"martj42",NA,"Wales","Ireland, Northern","WAL","NIR",1,"Wales_Ireland, Northern_1896-02-29",TRUE
1896-03-07,"Northern Ireland","England",0,2,"British Home Championship","Belfast","Ireland",FALSE,"martj42",NA,"Ireland, Northern","England","NIR","ENG",0,"Ireland, Northern_England_1896-03-07",TRUE
1896-03-16,"Wales","England",1,9,"British Home Championship","Cardiff","Wales",FALSE,"martj42",NA,"Wales","England","WAL","ENG",0,"Wales_England_1896-03-16",TRUE
1896-03-21,"Scotland","Wales",4,0,"British Home Championship","Dundee","Scotland",FALSE,"martj42",NA,"Scotland","Wales",NA,"WAL",1,"Scotland_Wales_1896-03-21",TRUE
1896-03-28,"Northern Ireland","Scotland",3,3,"British Home Championship","Belfast","Ireland",FALSE,"martj42",NA,"Ireland, Northern","Scotland","NIR",NA,0.5,"Ireland, Northern_Scotland_1896-03-28",TRUE
