"date","team","fifa_code","rating","match_id","is_post_match"
1873-03-08,"England","ENG",1501.39795568469,"England_Scotland_1873-03-08",FALSE
1873-03-08,"Scotland",NA,1494.56726055575,"England_Scotland_1873-03-08",FALSE
1873-03-08,"England","ENG",1517.59762730954,"England_Scotland_1873-03-08",TRUE
1873-03-08,"Scotland",NA,1478.3675889309,"England_Scotland_1873-03-08",TRUE
1874-03-07,"Scotland",NA,1470.99595202214,"Scotland_England_1874-03-07",FALSE
1874-03-07,"England","ENG",1510.03037626461,"Scotland_England_1874-03-07",FALSE
1874-03-07,"Scotland",NA,1489.79053923055,"Scotland_England_1874-03-07",TRUE
1874-03-07,"England","ENG",1491.23578905621,"Scotland_England_1874-03-07",TRUE
1875-03-06,"England","ENG",1483.79998698332,"England_Scotland_1875-03-06",FALSE
1875-03-06,"Scotland",NA,1482.36194365829,"England_Scotland_1875-03-06",FALSE
1875-03-06,"England","ENG",1480.29973720974,"England_Scotland_1875-03-06",TRUE
1875-03-06,"Scotland",NA,1485.86219343187,"England_Scotland_1875-03-06",TRUE
1876-03-04,"Scotland",NA,1478.45318591003,"Scotland_England_1876-03-04",FALSE
1876-03-04,"England","ENG",1472.91846596127,"Scotland_England_1876-03-04",FALSE
1876-03-04,"Scotland",NA,1494.7248169235,"Scotland_England_1876-03-04",TRUE
1876-03-04,"England","ENG",1456.6468349478,"Scotland_England_1876-03-04",TRUE
1876-03-25,"Scotland",NA,1494.29381117501,"Scotland_Wales_1876-03-25",FALSE
1876-03-25,"Wales","WAL",1500,"Scotland_Wales_1876-03-25",FALSE
1876-03-25,"Scotland",NA,1511.19360324354,"Scotland_Wales_1876-03-25",TRUE
1876-03-25,"Wales","WAL",1483.10020793147,"Scotland_Wales_1876-03-25",TRUE
1877-03-03,"England","ENG",1449.38350500745,"England_Scotland_1877-03-03",FALSE
1877-03-03,"Scotland",NA,1504.09199159655,"England_Scotland_1877-03-03",FALSE
1877-03-03,"England","ENG",1429.07892455966,"England_Scotland_1877-03-03",TRUE
1877-03-03,"Scotland",NA,1524.39657204434,"England_Scotland_1877-03-03",TRUE
1877-03-05,"Wales","WAL",1476.09007386302,"Wales_Scotland_1877-03-05",FALSE
1877-03-05,"Scotland",NA,1524.35470356961,"Wales_Scotland_1877-03-05",FALSE
1877-03-05,"Wales","WAL",1455.41478843556,"Wales_Scotland_1877-03-05",TRUE
