"identity_map_version","source_dataset","source_version","source_input_sha256","source_artifact_id","source_identity_key","source_team_id","source_display_name","normalized_source_name","team_id","fifa_code","canonical_name","aliases","mapping_method","mapping_warning","alias_review_state","identity_map_sha256","row_sha256"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:palestine",,"Palestine","palestine","team_ple","PLE","Palestine",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","9fd85c5d8dce17986644c71d940967c99e78d6b47b73946f6166537aca81d5d1"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:panama",,"Panama","panama","team_pan","PAN","Panama",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","4e2a0349ab17901212925ade257ba045120bfa0f990ab5fa20273b938c57f59a"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:panjab",,"Panjab","panjab","team_panjab","NA","Panjab",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","86a80fefbad031ae48eb22ee8acb7d5f30df35b5c91895fa907d11ac6c719829"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:papua new guinea",,"Papua New Guinea","papua new guinea","team_png","PNG","Papua New Guinea",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","d2a55111af2a5fb1a6be030a2d5bf9a1db0181bf70d303e111c6f6ba999f05d4"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:paraguay",,"Paraguay","paraguay","team_par","PAR","Paraguay",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","e12712f2d9c525f82d8bfb2dc0988cf07581f998cead6e1050a6b2e191157e6f"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:parishes of jersey",,"Parishes of Jersey","parishes of jersey","team_parishes_of_jersey","NA","Parishes of Jersey",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","43fb020bf1b7366fb7c7dba3dad2b0fff1021407b14ac94cbfe907733e7bccf1"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:peru",,"Peru","peru","team_per","PER","Peru",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","4a5cdc87aca297b1a4dd71ca943a8e1fc1ac4697fe32d16bc6b904d4b73e0c24"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:philippines",,"Philippines","philippines","team_phi","PHI","Philippines",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","c1b015d6bc8ed1e08f9b1d45b8e87ed1f46bf4cf9206e71179f1f98410082f54"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:poland",,"Poland","poland","team_pol","POL","Poland",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","de9491a691131f9a4c8231b44673520e3ecef92c05af5dff4a02070ee3331494"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:portugal",,"Portugal","portugal","team_por","POR","Portugal",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","8b0883374177106debd16d5467a51eff58683db027676a334dbd26749a67725a"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:provence",,"Provence","provence","team_provence","NA","Provence","Rouet-Provence","normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","288a8144066e1c9709c85692c53c7dda7fe7e5c4fc9420906f0602c3510f794e"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:puerto rico",,"Puerto Rico","puerto rico","team_pur","PUR","Puerto Rico",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","efa1f23f8288ad9b2f3d3b0fae31821bda6ab6e18aec555c151d59b5e5e573a6"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:qatar",,"Qatar","qatar","team_qat","QAT","Qatar",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","c164771fdf9bc52402c57e4475c1b0120b7b597f459737054bef318955a0225c"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:quebec",,"Quebec","quebec","team_quebec","NA","Quebec",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","1fa890777d445da421480dff58a704c830fb3d893d8bcb789b963b62775b393c"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:r eunion",,"Réunion","r eunion","team_r_eunion","NA","Réunion",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","57bc6c997a44d631aaec699e2425d3fe7adf686929ccb2b0ddee991a88629935"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:raetia",,"Raetia","raetia","team_raetia","NA","Raetia",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","2eb94e3ead0c78b7d29922834ca941b6502400eb3a82b55000a13f056af41e8d"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:republic of ireland",,"Republic of Ireland","republic of ireland","team_republic_of_ireland","NA","Republic of Ireland",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","8c5f4fd76f84c3ac64d49ed94a066c69a96d2f3f8ab6a56cb04ef2e0a4506627"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:republic of st pauli",,"Republic of St. Pauli","republic of st pauli","team_republic_of_st_pauli","NA","Republic of St. Pauli",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","10126634aea9f63aceabbe44151193bf8abf5601f7d291a37429b9d5cbb1db5c"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:rhodes",,"Rhodes","rhodes","team_rhodes","NA","Rhodes",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","9b201d230a98b4502f428c5270292702cc1a6a18c641a5dca434415c31a4caf4"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:romani people",,"Romani people","romani people","team_romani_people","NA","Romani people",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","6f66a604e34f9c2b362f6522d39d95d924ca802fb3ae8c0355f6f9f312c67b07"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:romania",,"Romania","romania","team_rou","ROU","Romania",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","f62b969b473d96cba0fc33c638bb8c677dbb984017a3e9d85d7c2351750d4c54"
