"date","team","display_team","group","fifa_code","rating","match_id","is_post_match"
2026-06-11,"Korea Republic","South Korea","A","KOR",1298.70090966055,"tournament_start",FALSE
2026-06-11,"Korea Republic","South Korea","A","KOR",1318.68603464902,"Korea Republic_Czech Republic_2026-06-11",TRUE
2026-06-18,"Korea Republic","South Korea","A","KOR",1311.67334766725,"Mexico_Korea Republic_2026-06-18",TRUE
2026-06-24,"Korea Republic","South Korea","A","KOR",1295.75651849256,"South Africa_Korea Republic_2026-06-24",TRUE
2026-07-18,"Korea Republic","South Korea","A","KOR",1295.75651849256,"tournament_end",TRUE
2026-06-11,"Mexico","Mexico","A","MEX",1367.46113079602,"tournament_start",FALSE
2026-06-11,"Mexico","Mexico","A","MEX",1370.60111547729,"Mexico_South Africa_2026-06-11",TRUE
2026-06-18,"Mexico","Mexico","A","MEX",1377.35529118552,"Mexico_Korea Republic_2026-06-18",TRUE
2026-06-24,"Mexico","Mexico","A","MEX",1381.69104650471,"Mexico_Czech Republic_2026-06-24",TRUE
2026-06-30,"Mexico","Mexico","A","MEX",1389.13567183576,"Mexico_Ecuador_2026-06-30",TRUE
2026-07-05,"Mexico","Mexico","A","MEX",1378.41892990919,"Mexico_England_2026-07-05",TRUE
2026-07-18,"Mexico","Mexico","A","MEX",1378.41892990919,"tournament_end",TRUE
2026-06-11,"Morocco","Morocco","C","MAR",1378.33629331865,"tournament_start",FALSE
2026-06-13,"Morocco","Morocco","C","MAR",1379.2797706595,"Brazil_Morocco_2026-06-13",TRUE
2026-06-19,"Morocco","Morocco","C","MAR",1383.4840193059,"Scotland_Morocco_2026-06-19",TRUE
2026-06-24,"Morocco","Morocco","C","MAR",1388.42500098066,"Morocco_Haiti_2026-06-24",TRUE
2026-06-29,"Morocco","Morocco","C","MAR",1386.81273817959,"Netherlands_Morocco_2026-06-29",TRUE
2026-07-04,"Morocco","Morocco","C","MAR",1392.25921250707,"Canada_Morocco_2026-07-04",TRUE
2026-07-09,"Morocco","Morocco","C","MAR",1382.96711077148,"France_Morocco_2026-07-09",TRUE
2026-07-18,"Morocco","Morocco","C","MAR",1382.96711077148,"tournament_end",TRUE
2026-06-11,"Netherlands","Netherlands","F","NED",1380.01058322165,"tournament_start",FALSE
2026-06-14,"Netherlands","Netherlands","F","NED",1383.4039167292,"Netherlands_Japan_2026-06-14",TRUE
2026-06-20,"Netherlands","Netherlands","F","NED",1391.76151388955,"Netherlands_Sweden_2026-06-20",TRUE
2026-06-25,"Netherlands","Netherlands","F","NED",1395.29284400688,"Tunisia_Netherlands_2026-06-25",TRUE
2026-06-29,"Netherlands","Netherlands","F","NED",1396.73312986592,"Netherlands_Morocco_2026-06-29",TRUE
2026-07-18,"Netherlands","Netherlands","F","NED",1396.73312986592,"tournament_end",TRUE
2026-06-11,"New Zealand","New Zealand","G","NZL",1150.50871733485,"tournament_start",FALSE
2026-06-15,"New Zealand","New Zealand","G","NZL",1158.60201286524,"Iran_New Zealand_2026-06-15",TRUE
2026-06-21,"New Zealand","New Zealand","G","NZL",1152.91431220293,"New Zealand_Egypt_2026-06-21",TRUE
2026-06-26,"New Zealand","New Zealand","G","NZL",1149.56688920249,"New Zealand_Belgium_2026-06-26",TRUE
2026-07-18,"New Zealand","New Zealand","G","NZL",1149.56688920249,"tournament_end",TRUE
2026-06-11,"Norway","Norway","I","NOR",1308.02689868579,"tournament_start",FALSE
2026-06-16,"Norway","Norway","I","NOR",1319.48396320425,"Iraq_Norway_2026-06-16",TRUE
2026-06-22,"Norway","Norway","I","NOR",1331.53471047118,"Norway_Senegal_2026-06-22",TRUE
2026-06-26,"Norway","Norway","I","NOR",1326.54142375316,"Norway_France_2026-06-26",TRUE
2026-06-30,"Norway","Norway","I","NOR",1333.27252131516,"Ivory Coast_Norway_2026-06-30",TRUE
2026-07-05,"Norway","Norway","I","NOR",1345.83328822577,"Brazil_Norway_2026-07-05",TRUE
2026-07-11,"Norway","Norway","I","NOR",1339.84291747978,"Norway_England_2026-07-11",TRUE
2026-07-18,"Norway","Norway","I","NOR",1339.84291747978,"tournament_end",TRUE
2026-06-11,"Panama","Panama","L","PAN",1225.56255335293,"tournament_start",FALSE
2026-06-17,"Panama","Panama","L","PAN",1210.21966450737,"Ghana_Panama_2026-06-17",TRUE
2026-06-23,"Panama","Panama","L","PAN",1204.63806570199,"Panama_Croatia_2026-06-23",TRUE
2026-06-27,"Panama","Panama","L","PAN",1201.15138291182,"Panama_England_2026-06-27",TRUE
2026-07-18,"Panama","Panama","L","PAN",1201.15138291182,"tournament_end",TRUE
2026-06-11,"Paraguay","Paraguay","D","PAR",1257.88221816518,"tournament_start",FALSE
2026-06-12,"Paraguay","Paraguay","D","PAR",1241.30159911671,"United States_Paraguay_2026-06-12",TRUE
2026-06-19,"Paraguay","Paraguay","D","PAR",1261.11121531396,"Turkey_Paraguay_2026-06-19",TRUE
2026-06-25,"Paraguay","Paraguay","D","PAR",1263.58772402773,"Paraguay_Australia_2026-06-25",TRUE
2026-06-29,"Paraguay","Paraguay","D","PAR",1265.78607032321,"Germany_Paraguay_2026-06-29",TRUE
2026-07-04,"Paraguay","Paraguay","D","PAR",1262.22740041124,"Paraguay_France_2026-07-04",TRUE
2026-07-18,"Paraguay","Paraguay","D","PAR",1262.22740041124,"tournament_end",TRUE
2026-06-11,"Portugal","Portugal","K","POR",1425.25536465872,"tournament_start",FALSE
2026-06-17,"Portugal","Portugal","K","POR",1415.23950106139,"Portugal_DR Congo_2026-06-17",TRUE
2026-06-23,"Portugal","Portugal","K","POR",1421.10919245968,"Portugal_Uzbekistan_2026-06-23",TRUE
2026-06-27,"Portugal","Portugal","K","POR",1419.78620090909,"Colombia_Portugal_2026-06-27",TRUE
2026-07-02,"Portugal","Portugal","K","POR",1428.85838104521,"Portugal_Croatia_2026-07-02",TRUE
2026-07-06,"Portugal","Portugal","K","POR",1422.09805315712,"Portugal_Spain_2026-07-06",TRUE
2026-07-18,"Portugal","Portugal","K","POR",1422.09805315712,"tournament_end",TRUE
2026-06-11,"Qatar","Qatar","B","QAT",1081.65545407476,"tournament_start",FALSE
2026-06-13,"Qatar","Qatar","B","QAT",1088.56229883812,"Qatar_Switzerland_2026-06-13",TRUE
2026-06-18,"Qatar","Qatar","B","QAT",1084.72038309088,"Canada_Qatar_2026-06-18",TRUE
2026-06-24,"Qatar","Qatar","B","QAT",1073.32994434503,"Bosnia and Herzegovina_Qatar_2026-06-24",TRUE
2026-07-18,"Qatar","Qatar","B","QAT",1073.32994434503,"tournament_end",TRUE
