"edition_id","projection_run_id","team_id","league","p_quarter_final","p_semi_final","p_third_place","p_final","p_champion","p_direct_promotion","p_direct_relegation","p_playoff_eligibility","p_playoff_win","p_playoff_loss","status","suppression_reason","simulation_count","simulation_seed","ruleset_version","ruleset_sha256","source_bundle_id","model_release_id","row_sha256"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_geo","B",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","245a28ca2c84640cf54341cea5c4614292d65ad133cb190c58cbe9ad3de75e0a"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_gibraltar","D",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","c441f9dcc77a97a7a07ba47abb24a51aa15415bd04d095d6e4bd383352dc642c"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_gre","A",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","ade5716328d1cb3d859e34a194e117f04ec98b12a32e12fc5a93cbac563dc027"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_hun","B",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","2ba78d2730be417f6f6a24c87ee6194ee7967976388dd3c0735a8c13f9c3fc79"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_isl","C",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","8698e78e6c7fc671231f507f09f40adc7b0c19a105b3d21b0f650a09321e2a79"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_isr","B",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","3ceb4acbc3076f60c88309f04badbfbcc93cd69950cad743561d8a6dca38dde9"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_ita","A",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","e4b55ef4ba693f680c44cebbb6e975a88ff4e1e9731a479021b414cba1d2a162"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_kaz","C",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","7a94f7c9ab0d25d3e21232566df2d1750e4d45d1b9c1f59340a5c27f72afed8f"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_kvx","B",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","25985b6b20a5c54fe25c67287f735b2f6c01014d72dcc25cf850273a6e746ead"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_lie","D",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","01c0bdb567ba105daed8f073821a4c67f2b203cf537cb048e8104223e6287071"
