"schema_version","edition_id","fixture_id","uefa_source_fixture_id","source_group_id","group_id","home_team_id","away_team_id","home_uefa_source_team_id","away_uefa_source_team_id","home_display_name","away_display_name","scheduled_at_utc","kickoff_confirmed","confirmed_kickoff_at_utc","source_status","source_artifact_id","home_mapping_method","away_mapping_method","home_mapping_warning","away_mapping_warning","row_sha256"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047953",2047953,2014197,2014197,"team_republic_of_ireland","team_aut",64,8,"Republic of Ireland","Austria","2026-10-01T18:45:00Z",TRUE,"2026-10-01T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","3967db1ca6bc16f190c4bfcc9da29e4c7e3333d44cd6b29a9c677b3f2c4e5f2c"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047954",2047954,2014192,2014192,"team_deu","team_srb",47,147,"Germany","Serbia","2026-10-01T18:45:00Z",TRUE,"2026-10-01T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","c6808e041d3079680ab257631eda7362b9587145c962f251959fb672a8f5f95b"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047955",2047955,2014204,2014204,"team_aze","team_lie",57154,81,"Azerbaijan","Liechtenstein","2026-10-01T16:00:00Z",TRUE,"2026-10-01T16:00:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","08e9fb975da096785a8b4baa03bb5e1e94163c98d2ae3384717eeb695967d15b"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047956",2047956,2014203,2014203,"team_mlt","team_gibraltar",88,94080,"Malta","Gibraltar","2026-10-01T18:45:00Z",TRUE,"2026-10-01T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","f35c41eec91db50bf2909f294cc9d0020123d3e099bfc9932007467e817ab834"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047957",2047957,2014194,2014194,"team_den","team_por",35,110,"Denmark","Portugal","2026-10-01T18:45:00Z",TRUE,"2026-10-01T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","a0f9b2b3f44051d9d53edc4e069df05d307ec7668093bdc742f1c1189fb27936"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047958",2047958,2014200,2014200,"team_lva","team_mne",56558,92853,"Latvia","Montenegro","2026-10-02T16:00:00Z",TRUE,"2026-10-02T16:00:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","3c05eb36f357f9a67c5f1f444316de6cd9029e32f7894173e8aa0c5ac0d55e2e"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047959",2047959,2014196,2014196,"team_ukr","team_nir",57166,63,"Ukraine","Northern Ireland","2026-10-02T18:45:00Z",TRUE,"2026-10-02T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","3ace8b7b4d53b0fdde3a4321bb23cd9ba9dd32147a01379257f34cc58711e6db"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047960",2047960,2014191,2014191,"team_fra","team_ita",43,66,"France","Italy","2026-10-02T18:45:00Z",TRUE,"2026-10-02T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","6cf468350461a2bb4ba3e92d377f83876237d396082059412d7c4fd6aac943cf"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047961",2047961,2014191,2014191,"team_bel","team_tur",13,135,"Belgium","Türki̇ye","2026-10-02T18:45:00Z",TRUE,"2026-10-02T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","d855126ae3eaab6a28907bb266e9e488c356ae8c2664fbc8b25c8e814de3a5a7"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047962",2047962,2014196,2014196,"team_hun","team_geo",57,57157,"Hungary","Georgia","2026-10-02T18:45:00Z",TRUE,"2026-10-02T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","62d4f34b2fcbcb380d79284c62103e4ea40211425111742d7a7f97e3c9bfe3d1"
